resource_id,resource_type,name,department,capacity,service_date,start_time,end_time
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-01,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-02,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-03,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-04,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-05,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-06,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-07,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-08,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-09,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-10,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-11,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-12,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-13,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-14,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-15,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-16,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-17,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-18,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-19,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-20,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-21,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-22,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-23,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-24,00:00,23:59
RES-1,CREW,Track Gang A,ENGINEERING,2,2026-09-25,00:00,23:59
